slot,id,time,rate [ct./kWh],energy [kWh],seller,buyer
2018-08-14T08:00:00+02:00,88aff25e-7b98-44bc-9274-ca01f7048d5c,2018-08-14T08:14:45+02:00,24.24,0.0432,IAA House 2,IAA House 1
2018-08-14T08:15:00+02:00,a083ffc1-f190-40fc-bfa6-c6ddbd2086ac,2018-08-14T08:29:15+02:00,24.24,0.0528,IAA House 2,IAA House 1
2018-08-14T08:30:00+02:00,2e7b4587-7c57-41a2-83fa-e9bb33a21212,2018-08-14T08:44:15+02:00,24.24,0.0636,IAA House 2,IAA House 1
2018-08-14T08:45:00+02:00,ed2bdf9c-da0a-4a89-8827-c16c197f3108,2018-08-14T08:59:15+02:00,24.24,0.0756,IAA House 2,IAA House 1
2018-08-14T09:00:00+02:00,1cf78113-9ec3-4a7c-bd2c-bc245187ae0f,2018-08-14T09:14:45+02:00,24.24,0.0888,IAA House 2,IAA House 1
2018-08-14T09:15:00+02:00,cb9b2817-3083-4c70-94b6-8d54e7dc29a3,2018-08-14T09:29:45+02:00,24.24,0.1038,IAA House 2,IAA House 1
2018-08-14T09:30:00+02:00,ec7a0564-9287-4ee0-a5ea-58b3ef8c508a,2018-08-14T09:44:15+02:00,24.24,0.1194,IAA House 2,IAA House 1
2018-08-14T13:30:00+02:00,1092b854-ad1d-4399-8ffe-5512db2451a2,2018-08-14T13:44:45+02:00,24.24,0.1904,IAA House 2,IAA House 1
2018-08-14T14:45:00+02:00,31edc549-4c4c-46ad-b50a-b7b06ca655df,2018-08-14T14:59:15+02:00,24.24,0.1124,IAA House 2,IAA House 1
2018-08-14T15:30:00+02:00,d14c8e81-14f1-4b5d-bb7e-f7a6798c76fe,2018-08-14T15:44:45+02:00,24.24,0.06620000000000001,IAA House 2,IAA House 1
2018-08-14T15:45:00+02:00,6c474438-0770-4963-8152-525f728feb15,2018-08-14T15:59:15+02:00,24.24,0.052399999999999995,IAA House 2,IAA House 1
