slot,id,time,rate [ct./kWh],energy [kWh],seller,buyer
2018-08-14T00:00:00+02:00,8523bfd7-11ad-452f-b0e2-77fe750d99cf,2018-08-14T00:00:45+02:00,27.27,0.025,IAA House 1,Cell Tower
2018-08-14T00:15:00+02:00,bc8cb5a2-98df-49e8-9aac-7022ebda657a,2018-08-14T00:15:30+02:00,27.27,0.025,IAA House 1,Cell Tower
2018-08-14T00:30:00+02:00,189e2482-ee0b-4fff-93ea-669017463484,2018-08-14T00:30:45+02:00,27.27,0.025,IAA House 5,Cell Tower
2018-08-14T00:45:00+02:00,7e61f65c-0731-42f8-8910-7afaefedff43,2018-08-14T00:45:30+02:00,27.27,0.025,IAA House 4,Cell Tower
2018-08-14T01:00:00+02:00,ab098409-4569-4872-a7c0-669ecbf99e9a,2018-08-14T01:00:45+02:00,27.27,0.025,IAA House 1,Cell Tower
2018-08-14T01:15:00+02:00,fcf0c93f-fa41-45e9-ad6f-c41c6ae1e6a8,2018-08-14T01:15:30+02:00,27.27,0.025,IAA House 1,Cell Tower
2018-08-14T01:30:00+02:00,984fffd6-5153-40da-bfb1-1b21c4504859,2018-08-14T01:30:45+02:00,27.27,0.025,IAA House 4,Cell Tower
2018-08-14T01:45:00+02:00,59fe42ec-10c0-4a76-82d1-2cfdf804cce6,2018-08-14T01:45:30+02:00,27.27,0.025,IAA House 5,Cell Tower
2018-08-14T02:00:00+02:00,2730a697-dce3-46af-962b-afe8a0e226e9,2018-08-14T02:00:45+02:00,27.27,0.025,IAA House 5,Cell Tower
2018-08-14T02:15:00+02:00,222491d1-f3f2-4abf-af05-870efe549841,2018-08-14T02:15:45+02:00,27.27,0.025,IAA House 1,Cell Tower
2018-08-14T02:30:00+02:00,052ae279-1198-40aa-a5d0-29db6ba1033c,2018-08-14T02:30:30+02:00,27.27,0.025,IAA House 1,Cell Tower
2018-08-14T02:45:00+02:00,06632bbe-2fec-4d86-a381-b6beef3e6c6c,2018-08-14T02:45:30+02:00,27.27,0.025,IAA House 5,Cell Tower
2018-08-14T03:00:00+02:00,b0165665-e12c-4c1e-9ac8-1c199d561e5c,2018-08-14T03:00:45+02:00,27.27,0.025,IAA House 1,Cell Tower
2018-08-14T03:15:00+02:00,17c06edc-9d7f-4232-9bce-90c15aadc501,2018-08-14T03:15:30+02:00,27.27,0.025,IAA House 4,Cell Tower
2018-08-14T03:30:00+02:00,be893ad6-f249-482e-ad8b-39817bc5f703,2018-08-14T03:30:45+02:00,27.27,0.025,IAA House 5,Cell Tower
2018-08-14T03:45:00+02:00,54651740-e9a8-4e00-bf11-7a02bd377575,2018-08-14T03:45:30+02:00,27.27,0.025,IAA House 1,Cell Tower
2018-08-14T04:00:00+02:00,69781d65-75da-43d9-ba56-356b8a109176,2018-08-14T04:00:30+02:00,27.27,0.025,IAA House 4,Cell Tower
2018-08-14T04:15:00+02:00,05498e73-c351-4d9d-b393-7c412c7afbba,2018-08-14T04:15:45+02:00,27.27,0.025,IAA House 1,Cell Tower
2018-08-14T04:30:00+02:00,8e5e1b25-ef1c-4586-bcd9-9b302feef989,2018-08-14T04:30:30+02:00,27.27,0.025,IAA House 5,Cell Tower
